fecha,P_mm_media_cuenca
2021-01,57.622676849365234
2021-02,93.8735122680664
2021-03,176.10629272460938
2021-04,188.42071533203125
2021-05,127.64012145996094
2021-06,128.5023193359375
2021-07,63.40589904785156
2021-08,94.51676177978516
2021-09,86.79452514648438
2021-10,160.22303771972656
2021-11,113.00981140136719
2021-12,70.41012573242188
2022-01,67.47972106933594
2022-02,192.36790466308594
2022-03,144.2979736328125
2022-04,137.6016082763672
2022-05,78.36458587646484
2022-06,167.1354217529297
2022-07,79.54356384277344
2022-08,51.04002380371094
2022-09,111.79833984375
2022-10,324.2479248046875
2022-11,170.00784301757812
2022-12,85.51799774169922
2023-01,133.43405151367188
2023-02,67.32705688476562
2023-03,189.25201416015625
2023-04,151.06544494628906
2023-05,121.10635375976562
2023-06,41.16429901123047
2023-07,42.75273132324219
2023-08,65.67002868652344
2023-09,44.267372131347656
2023-10,167.22764587402344
2023-11,146.37962341308594
2023-12,125.00146484375
2024-01,25.41066551208496
2024-02,95.84750366210938
2024-03,68.66373443603516
2024-04,182.83206176757812
2024-05,139.02835083007812
2024-06,103.92343139648438
2024-07,31.50691032409668
2024-08,30.91489601135254
2024-09,40.61160659790039
2024-10,160.24212646484375
2024-11,118.62113189697266
2024-12,91.5481948852539
2025-01,42.95222473144531
2025-02,176.5150604248047
2025-03,227.79856872558594
2025-04,199.97352600097656
2025-05,139.60546875
2025-06,89.56333923339844
2025-07,20.320819854736328
2025-08,62.32798767089844
2025-09,84.59420776367188
2025-10,199.9812774658203
2025-11,170.6084442138672
2025-12,101.47064971923828
