categoria,archivo,crs,ancho_px,alto_px,resolucion_m,nodata,pct_valido,min,max,media,std
FACTOR_LS,Factor_LS_Mitasova_real.tif,EPSG:3115,2377,1169,30.0,-9999.0,100.0,0.0,1964.1472,11.4898,22.0165
PERDIDA_SUELO_RUSLE,A_USLE_promedio_mensual_NDVI_ton_ha_mes.tif,EPSG:3115,2377,1169,30.0,-9999.0,60.6,0.0278,318129.125,2230.1803,4476.0485
PERDIDA_SUELO_RUSLE,A_USLE_promedio_mensual_EVI_ton_ha_mes.tif,EPSG:3115,2377,1169,30.0,-9999.0,60.6,0.0346,359526.4062,2443.918,5018.7144
SUSCEPTIBILIDAD,Susceptibilidad_promedio_NDVI.tif,EPSG:3115,2377,1169,30.0,-9999.0,60.6,0.1116,0.5114,0.2282,0.0723
SUSCEPTIBILIDAD,Susceptibilidad_promedio_EVI.tif,EPSG:3115,2377,1169,30.0,-9999.0,60.6,0.1179,0.5003,0.2375,0.0697
CHIRPS,CHIRPS_promedio_mensual_mm.tif,EPSG:3115,2377,1169,30.0,-9999.0,60.6,84.2151,157.9586,114.4907,21.3355
