fecha,Susc_NDVI_media_cuenca,Susc_EVI_media_cuenca
2021-01,0.2035000434813212,0.21330902973948418
2021-02,0.22467534405043488,0.23199696424933033
2021-03,0.26428131981985997,0.2696863319830174
2021-04,0.288562373932228,0.2914839539959567
2021-05,0.225600457402954,0.2391640280732755
2021-06,0.24393073634681953,0.25097681190786203
2021-07,0.20270181437164211,0.2144229547484722
2021-08,0.24646975831796047,0.25032684626789875
2021-09,0.2144156440700163,0.22240656554575655
2021-10,0.24276548473305073,0.2552183595506222
2021-11,0.23708104341274922,0.2445521801800515
2021-12,0.20319572496482702,0.21356579603352138
2022-01,0.195797828826705,0.2074043046105433
2022-02,0.2691450209828147,0.276972590411411
2022-03,0.24952160926494626,0.255257606641566
2022-04,0.24626967650573142,0.2520160422736586
2022-05,0.2080633084914585,0.21747749315568948
2022-06,0.2681830043843286,0.27305076005144685
2022-07,0.22218698713485446,0.22801924090159867
2022-08,0.19580502363105953,0.20552308811277792
2022-09,0.22101692283831972,0.23169435784369743
2022-10,0.332585251870805,0.3417201289833625
2022-11,0.2767551671258569,0.2799030755650848
2022-12,0.21098844866503672,0.22011197921994438
2023-01,0.24560959416292139,0.2535764325659993
2023-02,0.19459907367132917,0.20601454697579147
2023-03,0.2797935865570175,0.28416961067405455
2023-04,0.24719375529481485,0.25462702225783573
2023-05,0.2198519325398711,0.23108254213131177
2023-06,0.17868057973517207,0.19336934431947186
2023-07,0.19215882824636188,0.20387680125153254
2023-08,0.18162717696784778,0.1996339020643113
2023-09,0.19038949543298228,0.20021395932277444
2023-10,0.2584876980635873,0.2657414968411157
2023-11,0.250222904050513,0.2583923873149395
2023-12,0.23888877158713503,0.24572337606643824
2024-01,0.1659742782565116,0.18101876325875413
2024-02,0.2124074703154085,0.22100305864359068
2024-03,0.19767301964369488,0.20672545396161193
2024-04,0.25442474765351253,0.264447803983722
2024-05,0.25785250759035544,0.26294672523925955
2024-06,0.21045330583859373,0.22277537155143418
2024-07,0.1635009431069676,0.1816346839904572
2024-08,0.16244888293202012,0.18160249167748813
2024-09,0.17695842820893293,0.19028010206443452
2024-10,0.24594835385422495,0.2569938107409162
2024-11,0.23645708938359203,0.24222279589677484
2024-12,0.21848226119576558,0.22549775602026112
2025-01,0.18836902770745956,0.19771381636159777
2025-02,0.2851723111158002,0.28709151342279843
2025-03,0.28768234866898207,0.2948283313311155
2025-04,0.2700788262744713,0.27833957678421467
2025-05,0.24974057432343463,0.2563168958027531
2025-06,0.22058415128566983,0.2273921253762061
2025-07,0.16716737062507173,0.1815404279162029
2025-08,0.20138839825882382,0.20932929575443046
2025-09,0.20340885970328568,0.21509554022918786
2025-10,0.28269710437080475,0.2875537665834895
2025-11,0.2651727373729628,0.2740836513776688
2025-12,0.19851618758512607,0.21799621021817342
