variante,media_ton_ha_mes,mediana_ton_ha_mes,min_ton_ha_mes,max_ton_ha_mes,std_ton_ha_mes
NDVI,2230.1803216102053,817.9029194068044,0.02776989409628257,318129.1389890409,4476.048501515058
EVI,2443.9180412827977,905.654505221079,0.03464435286351071,359526.41463806655,5018.7143895284835
