fecha,A_NDVI_media_cuenca,A_EVI_media_cuenca
2021-01,468.970650124123,492.81838110070527
2021-02,1148.7414056185078,1198.7766571097422
2021-03,2972.5939066470987,3123.097040418955
2021-04,4701.1087433686,4793.608277462034
2021-05,1428.4400975497995,1668.4053001888783
2021-06,1660.1553301150866,1901.2093818683509
2021-07,508.6528701128172,554.2666189966104
2021-08,1186.2347307594805,1265.6913787210717
2021-09,856.2912299800151,913.0180962464641
2021-10,2359.5056840168845,2801.8059123320973
2021-11,2298.100996565889,2327.448552149188
2021-12,598.7167367221876,650.2804799205941
2022-01,538.6015946558989,689.9887105838005
2022-02,6427.5402685845265,6997.5775976163395
2022-03,2195.107532926314,2581.8994420108916
2022-04,2990.869628110441,3074.7605683440097
2022-05,642.8399131779966,780.1355501293737
2022-06,4725.664528710677,4824.778791299807
2022-07,1677.0949846644844,1717.1417243982337
2022-08,316.2157156103772,338.35736569230465
2022-09,1523.7806227097499,1757.7940268464213
2022-10,11231.534211685974,13732.686523285749
2022-11,4310.236609359037,4573.626043264912
2022-12,1022.4147793111291,1236.778321359168
2023-01,3347.9671927507547,3412.0189649522817
2023-02,398.45012973359184,486.07703518694217
2023-03,6377.457558243015,6419.9597685579365
2023-04,2547.69691773605,2999.6212444525563
2023-05,1052.3950596223606,1413.5951220407535
2023-06,163.22069108188703,194.32710665566066
2023-07,229.43375687022356,252.30840553665763
2023-08,230.10910800761687,372.842634065779
2023-09,217.16863797367887,237.73996131089658
2023-10,4010.4765833965916,4044.6177086976895
2023-11,4112.564832741766,4619.055052774252
2023-12,1972.1148349133628,2464.011093262801
2024-01,54.049767324512295,82.3359346957344
2024-02,1310.4808081819792,1339.4043628403244
2024-03,499.7846869889031,568.1443793927416
2024-04,3193.517952809766,3706.7895600430243
2024-05,2746.3140641637037,2877.7636140497966
2024-06,1054.608215384799,1316.5340383579135
2024-07,71.29041638543976,108.8501124149153
2024-08,55.196552277392584,86.20909353081225
2024-09,128.1470309893724,170.98706298457347
2024-10,2699.2443394594075,3040.844505778727
2024-11,2757.5858333729802,2731.6127701663027
2024-12,1487.6249035638955,1539.1851876616706
2025-01,307.2953768281455,364.94444189342954
2025-02,6277.9252194078545,6478.976456510612
2025-03,6576.481253654659,7259.441092528089
2025-04,4318.152764314321,4806.294701143215
2025-05,2750.9494491004443,2807.0506058710057
2025-06,1101.7144051295857,1198.0941353939052
2025-07,39.02400935230306,48.715224437907224
2025-08,377.6943510863289,468.0060334775999
2025-09,574.7761898354819,658.6657276049308
2025-10,6626.89056619378,6951.6431976107415
2025-11,5562.177882598411,5705.389833292151
2025-12,791.4251840509033,1407.0755664477913
